state,total_votes
Delaware,490935
Georgia,4946137
Idaho,858856
Illinois,5845181
Iowa,1670525
Kansas,1330054
Kentucky,2134725
Louisiana,2071543
Maine,761847
Massachusetts,3359282
Michigan,5465111
Minnesota,3214967
Mississippi,1257458
Montana,602736
Nebraska,895600
New Hampshire,795603
New Jersey,4141925
New Mexico,916975
North Carolina,5432052
Oklahoma,1556361
Oregon,2307507
Rhode Island,492178
South Carolina,2512810
South Dakota,420219
Tennessee,2941711
Texas,11103792
Virginia,4379388
West Virginia,778029
Wyoming,270866
Alabama,2303212
Alaska,346831
Arizona,3354722
Arkansas,1186640
Colorado,3234808
Georgia,4908153
